feature,family,selected,status,duplicate_of,high_correlation_review,note
parkinson_volatility_5s,range_atr_and_estimators,True,selected,,True,Retained pending development-only predictive diagnostics.
parkinson_volatility_20s,range_atr_and_estimators,True,selected,,True,Retained pending development-only predictive diagnostics.
parkinson_volatility_30s,range_atr_and_estimators,True,selected,,True,Retained pending development-only predictive diagnostics.
garman_klass_volatility_5s,range_atr_and_estimators,True,selected,,True,Retained pending development-only predictive diagnostics.
garman_klass_volatility_20s,range_atr_and_estimators,True,selected,,True,Retained pending development-only predictive diagnostics.
garman_klass_volatility_30s,range_atr_and_estimators,True,selected,,True,Retained pending development-only predictive diagnostics.
overnight_gap_fraction,range_atr_and_estimators,True,selected,,True,Retained pending development-only predictive diagnostics.
range_percentile_20s,range_atr_and_estimators,True,selected,,False,Retained pending development-only predictive diagnostics.
range_percentile_60s,range_atr_and_estimators,True,selected,,True,Retained pending development-only predictive diagnostics.
range_percentile_120s,range_atr_and_estimators,True,selected,,True,Retained pending development-only predictive diagnostics.
range_quartile_60s,range_atr_and_estimators,True,selected,,True,Retained pending development-only predictive diagnostics.
open_to_previous_close,ohlcv_history,False,drop_exact_duplicate,overnight_gap_fraction,True,Exact algebraic duplicate; retain the named representative.
high_to_previous_close,ohlcv_history,True,selected,,False,Retained pending development-only predictive diagnostics.
low_to_previous_close,ohlcv_history,True,selected,,False,Retained pending development-only predictive diagnostics.
close_return_lag_1s,ohlcv_history,True,selected,,False,Retained pending development-only predictive diagnostics.
close_return_lag_2s,ohlcv_history,True,selected,,False,Retained pending development-only predictive diagnostics.
close_return_lag_5s,ohlcv_history,True,selected,,False,Retained pending development-only predictive diagnostics.
close_return_lag_10s,ohlcv_history,True,selected,,False,Retained pending development-only predictive diagnostics.
close_return_lag_20s,ohlcv_history,True,selected,,False,Retained pending development-only predictive diagnostics.
close_return_lag_30s,ohlcv_history,True,selected,,False,Retained pending development-only predictive diagnostics.
volume_change_1s,ohlcv_history,True,selected,,False,Retained pending development-only predictive diagnostics.
volume_change_5s,ohlcv_history,True,selected,,False,Retained pending development-only predictive diagnostics.
volume_change_20s,ohlcv_history,True,selected,,False,Retained pending development-only predictive diagnostics.
volume_percentile_20s,ohlcv_history,True,selected,,False,Retained pending development-only predictive diagnostics.
volume_percentile_60s,ohlcv_history,True,selected,,True,Retained pending development-only predictive diagnostics.
volume_percentile_120s,ohlcv_history,True,selected,,True,Retained pending development-only predictive diagnostics.
volume_quartile_60s,ohlcv_history,True,selected,,True,Retained pending development-only predictive diagnostics.
close_percentile_20s,ohlcv_history,True,selected,,False,Retained pending development-only predictive diagnostics.
close_percentile_60s,ohlcv_history,True,selected,,False,Retained pending development-only predictive diagnostics.
close_percentile_120s,ohlcv_history,True,selected,,False,Retained pending development-only predictive diagnostics.
price_to_sma_5s,moving_average_structure,True,selected,,False,Retained pending development-only predictive diagnostics.
price_to_sma_30s,moving_average_structure,True,selected,,True,Retained pending development-only predictive diagnostics.
price_to_sma_120s,moving_average_structure,True,selected,,True,Retained pending development-only predictive diagnostics.
sma_gap_5_20s,moving_average_structure,True,selected,,False,Retained pending development-only predictive diagnostics.
sma_gap_20_60s,moving_average_structure,True,selected,,True,Retained pending development-only predictive diagnostics.
sma_gap_30_120s,moving_average_structure,True,selected,,False,Retained pending development-only predictive diagnostics.
price_to_ema_10s,moving_average_structure,True,selected,,True,Retained pending development-only predictive diagnostics.
price_to_ema_30s,moving_average_structure,True,selected,,True,Retained pending development-only predictive diagnostics.
price_to_ema_60s,moving_average_structure,True,selected,,True,Retained pending development-only predictive diagnostics.
price_to_ema_120s,moving_average_structure,True,selected,,True,Retained pending development-only predictive diagnostics.
trend_slope_30s,linear_regression_structure,True,selected,,False,Retained pending development-only predictive diagnostics.
trend_slope_120s,linear_regression_structure,True,selected,,False,Retained pending development-only predictive diagnostics.
trend_r_squared_20s,linear_regression_structure,True,selected,,False,Retained pending development-only predictive diagnostics.
trend_r_squared_60s,linear_regression_structure,True,selected,,False,Retained pending development-only predictive diagnostics.
trend_r_squared_120s,linear_regression_structure,True,selected,,False,Retained pending development-only predictive diagnostics.
trend_residual_zscore_20s,linear_regression_structure,True,selected,,False,Retained pending development-only predictive diagnostics.
trend_residual_zscore_60s,linear_regression_structure,True,selected,,False,Retained pending development-only predictive diagnostics.
trend_slope_acceleration_20s,linear_regression_structure,True,selected,,False,Retained pending development-only predictive diagnostics.
volume_per_observed_minute,minute_bar_pace_and_distribution,True,selected,,False,Retained pending development-only predictive diagnostics.
absolute_return_per_observed_minute,minute_bar_pace_and_distribution,True,selected,,True,Retained pending development-only predictive diagnostics.
zero_return_fraction,minute_bar_pace_and_distribution,True,selected,,True,Retained pending development-only predictive diagnostics.
positive_return_fraction,minute_bar_pace_and_distribution,True,selected,,True,Retained pending development-only predictive diagnostics.
return_sign_imbalance,minute_bar_pace_and_distribution,True,selected,,False,Retained pending development-only predictive diagnostics.
intraday_return_q10,minute_bar_pace_and_distribution,True,selected,,True,Retained pending development-only predictive diagnostics.
intraday_return_q25,minute_bar_pace_and_distribution,True,selected,,True,Retained pending development-only predictive diagnostics.
intraday_return_median,minute_bar_pace_and_distribution,False,drop_cross_instrument_degenerate,return_sign_imbalance,False,Degenerate for one or more instruments; retain the robust proxy.
intraday_return_q75,minute_bar_pace_and_distribution,True,selected,,True,Retained pending development-only predictive diagnostics.
intraday_return_q90,minute_bar_pace_and_distribution,True,selected,,True,Retained pending development-only predictive diagnostics.
intraday_return_iqr,minute_bar_pace_and_distribution,True,selected,,True,Retained pending development-only predictive diagnostics.
intraday_tail_imbalance,minute_bar_pace_and_distribution,True,selected,,False,Retained pending development-only predictive diagnostics.
realized_variance,intraday_realized_risk,True,selected,,False,Retained pending development-only predictive diagnostics.
realized_volatility,intraday_realized_risk,True,selected,,True,Retained pending development-only predictive diagnostics.
downside_semivariance,intraday_realized_risk,True,selected,,False,Retained pending development-only predictive diagnostics.
upside_semivariance,intraday_realized_risk,True,selected,,True,Retained pending development-only predictive diagnostics.
bipower_variation,intraday_realized_risk,True,selected,,True,Retained pending development-only predictive diagnostics.
jump_variation,intraday_realized_risk,True,selected,,True,Retained pending development-only predictive diagnostics.
realized_quarticity,intraday_realized_risk,True,selected,,True,Retained pending development-only predictive diagnostics.
